date,review,rating
2021년 05월 16일,제가 쿠팡에서 로켓와우 1시간남은거를 주문해서 오늘아침7시에 온다고돼어있는데 8시가넘었는데도 않오네요 별점 1점 드리겠습니다,1
2021년 05월 15일,품절상품 안보고싶어요 가려지게 해주세요 괜히 스크롤 몇번을 내려야 되잖아요 1년 전 부터 이 피드백 있던데 많은 사람들이 불편해하고 있는게 안보이시나요? 일시품절상품 장바구니에 담아두고 사는 사람들 놓칠까봐 그러나 본데 그냥 품절 상품 안 사고 당장 있는 물건 사려는 사람들은 <<<품절 상품 안보기>>> 버튼이 필요합니다 솔직히 인터넷쇼핑 하면서 일시품절상품을 기다려서 사는 사람이 많겠어요 아니면 당장 있는 물건 사는 사람이 많겠어요?,5
2021년 05월 15일,"잘만 서치하면 모든사이트에서 최저가 로켓배송으로 다음날 당일배송 다음날 새벽배송 아 진짜 감사합니다
지금도 앞으로도 쭉 한결같이 이용할거같아요
쿠팡 안쓰는사람은 씹손해임ㄹㅇㅋㅋ",5
2021년 05월 11일,아이패드용 앱좀 만들어주세요 아이패드로 구매하고자 할때 너무 불편해요,5
2021년 05월 08일,쿠팡은 진리 .. 고생하시는 모든분들 늘 안전하게 물건 가져다주셔서 감사합니다ㅠㅠ,5
2021년 05월 04일,진짜 전부 다 괜찮은데 무통장입금이 안되서 못 하고 있어요 이거 왜이러죠 퓨ㅠㅠ 진짜 여러번 은행 왔다갔다 하고 정확히 하고 여러번 확인하고 확인 하고 계속 했는데 안돼요 ㅠㅠㅠㅠ,4
2021년 05월 04일,우크라이나의 쿠팡에 접속할 수 있는 권한이 없는 이유는 무엇입니까?,5
2021년 05월 03일,어플을 켠 뒤 어느곳을 눌러도 바로 꺼집니다.. 이럴거먼 왜 업뎃 내놓으셨는지 빨리 해결해주세요,1
2021년 05월 02일,주문취소했는데 아직 집에 오려면 한참남았는데 반품비를 왜내요..? 배송출발 된건 알겠는데 그냥 안오면 되잖아요 다른상품만 하고 안오면 되는데 반품비를 왜받아요..ㅜ 굳이 집까지 배송하고 다시 상품을 회수한다고요?......;;;; 진짜왜그러세요...,1
2021년 05월 01일,아오 사이트로 볼라는데 자꾸 앱으로 보기밖에 안 떠서 짜증나서 깝니다. 이렇게 노리는 건 좀 ㅡㅡ 에휴..,3
2021년 04월 30일,진짜 짜증나려고 합니다 전 카드랑 계좌 다 등록하기 싫은데 자꾸 강제로 화면 띄워서 결제도 안되고 다 자기들 마음대로 하려고 하는 것 같아서 너무 불편하네요,2
2021년 04월 28일,"아이패드로 폰화면 보여서 별로입니다

주로 쇼핑을 쿠팡으로 하는데 패드로 이용시 굉장히 불편합니다",4
2021년 04월 26일,원래 업데이트 하기전에는 안그랬는데 맨밑에 구매리뷰보다가 다른사람꺼 보고싶어서 뒤로가기하면 자꾸 자동으로 상품설명칸 맨 위쪽으로 올라가요ㅠㅠ 넘 불편해요ㅠㅠㅠ 언젠가부터 그렇게되버리더라구오,5
2021년 04월 26일,"위로 올라가는 증상이
잇엇는데 업데이트로 잡혓네여
감사해요!! 불편햇엇는데
업뎃하면서 점점 불편하게 바뀌지않고",5
2021년 04월 25일,아이패드 버전도 만들어 주심 안 되나요? 처음 앱 키고 들어갔을 때 당황했네요;;,3
2021년 04월 24일,"리뷰보다가 나오면 이게 오류인지 화면이 위로 올라가요.... 분명 리뷰는 밑에서 봤는데 리뷰사진 보고나오면 화면이 위로 이동되고..........너무 짜증나요 빨리 고쳐주시면 감사하겠습니다 ,,",3
2021년 04월 23일,평소에 로켓 배송으로 정말 잘 이용하고 있었는데 와우 회원 어그로가 정말 짜증나요 저렴하다 해서 들어가면 회원가니까 회원하라고 정말 짜증납니다,5
2021년 04월 22일,가끔씩 필요한 물건있을 때 잘 시용하고 있는데 다크 모드가 없어서 불편 합니다. 다크모드도 개발 해 주셨으면 합니다.,4
2021년 04월 22일,"쿠팡 없이 어떻게 살았을까 싶습니다. 핸드폰으로도 노트북으로도 잘 사용하고 있지만, 패드로 더 많이 사용하고 있습니다. 그런데 패드를 사용하는 입장에서 세로보다는 가로로 많이 사용하는데 쿠팡에서 이것을 지원하지 않아 여간 불편합니다. 꼭 아이패드 전용으로 혹은 패드 전용앱이 생겼으면 합니다.",5
2021년 04월 22일,지금도 몇번 지웠다가 다시 깔았는데도 작동이 안되네요 아이폰11 씁니다,5
2021년 04월 21일,"쿠팡프레시를 자주 애용하는 한 사람입니다. 빠르게 물건을 가져다줘서 정말 감사합니다!!
다만 제가 이번에 배송점수를 매기다 잘못눌러서 엄지척이 아니라 다른걸 눌렀는데 그게 배송기사분들에게 피해가 되진않겠죠?? 죄송해요! 매번 너무너무 잘쓰고 있습니다 감사합니다",5
2021년 04월 20일,왜 한번씩 렉걸리면 구매가 안되죠.. 어플자체가 안들어가지고 자꾸 동그라미뜨는중 ㅠㅠ...,5
2021년 04월 20일,"후기를 보고 ‘뒤’ 버튼을 누르면 상품의 맨 윗 화면으로 넘어갑니다.

원래는 뒤로가기 버튼을 누르면 딱 뒷페이지인 후기 창이 보여야하는데 맨 위로 가기가 되버려 불편합니다",4
2021년 04월 20일,쿠팡좀실망입니다 로켓와우로 새벽7시전까지와야되는데 넘어도 아직까지나오고있음니다 로켓와우로사려고 12시까지 기다려는데.. 실망이크네요.. 이런점고쳐주시고 로켓와우면7시에는 와야지 3시~6시사이면 그냥 로켓배송으로시켰겠네요 진짜 별점1점도아까워요,1
2021년 04월 20일,앱이 열리나 시작 화면만 몇분동안 보이고 들어가지지 않습니다,4
2021년 04월 18일,에이블리 등에서는 편의점결제로 청소년들도 결제할수있었는데 쿠팡에는 편의점 결제 시스템이없어 결제를하고싶어도 못하는 경우가 대부분이에요. 편의점 결제 시스템이 생기면 청소년들도 맘편히 결제할수있을것같아요,3
2021년 04월 17일,현기증난단말이에요 쿠팡플레이 아이패드버전으로 낼때 우리 쿠팡이 생각해주셨나요,5
2021년 04월 17일,불매 ! 불매 !,1
2021년 04월 15일,"아이패드용 앱좀 만들어주세요..
스마트폰은 작아서 패드용 앱이 있으면 쇼핑이 훨씬 편할듯..
특히 의류등의 상품은 좀더 큰화면으로 자세히 볼수 있었으면 좋겠음",2
2021년 04월 15일,렉이 왜이렇게심해요 뭐만하면 재연결 뜨고 업데이트 했는데도 계속 그러네요,1
2021년 04월 15일,이마트가 낫네요,1
2021년 04월 15일,짝퉁이랑 정가보다 비싼거좀 치우세요,1
2021년 04월 15일,국도사라하라아!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!...,5
2021년 04월 14일,"사람 갈아서 성장하는 기업은 안써요~ 바로 회원 탈퇴했습니다.
아이템위너? 말 같지도 않은 갑질 정책에 말문이 턱 막힙니다.. 그 안에서 경쟁하고 있는 판매자들도 불쌍하고.",1
2021년 04월 14일,그냥 사주기만하면 끝이라는건가? 조금은 실망스럽다,1
2021년 04월 13일,"쿠팡 없이 못 사는 사람인데,
어느 순간부터 리뷰 보고 뒤로 스와이프하면
상품페이지 상단으로 올라가서
그 다음 리뷰를 보려면 다시 내려야해서",5
2021년 04월 13일,"업데이트 있으면 알람 떠서 앱스토어로 연결될 수 있게 부탁 드립니다. 이제는 시작화면 멈춰 있으면 알아서 업데이트 해줘야 하나보다 합니다만, 이건 기본 아닌가 싶어서 글 남깁니다.",5
2021년 04월 13일,"와이파이로는 잘되는데 엘티이로는 접속이 안됩니다
어제부터 이러네요
아이폰X 입니다....저만이러나요???",5
2021년 04월 13일,"하 또 업뎃 떴길래 이번엔 되겠지하고
또 업뎃을 했는데 또 또 안됩니다
대체 뭐가 문제인걸까요 대체..",1
2021년 04월 13일,아이폰12인데 와이파이로는 되는데 데이터 5G인데도 데이터로 둘어가면 데이터요청이 없다고 계속 오류가 뜹니다..,1
2021년 04월 12일,"쿠팡 진짜 잘 사용하고 있구 배송도 빨리오고 다 좋은데 장바구니에 최근 담은 상품 70 개만 나오는거 약간 불편한게 있는것 같아용 😅 저만 그럴수도
있구 .. 다른 리뷰 보니 요런 이야기가 없던것 같은뎅제가 이상한건지 .. 아무튼 예전에는 100개씩 담겼는데 그렇게 좀 다시 바꿔주실수는 없는거죠 ?? ..",3
2021년 04월 11일,불편해죽겠네,1
2021년 04월 10일,이렇게 해야 보시겠죠. 리뷰 넘어가는 것 좀 막으시고요 상품 관리 좀 하세요. 짭 진짜 많고 상품과 관련 없는 사진 올려 놓고 당분간 쿠팡 사용하기싫네요 주변에도 알리는 중입니다.,5
2021년 04월 10일,제발 좀 제발 네이버 통해서 쿠팡 들어갔는데 하나 뭐 누를때마다 앱 깔겠냐고 깔겠냐고 계속 뜨길래 개빡쳐서 작성해요 ^^ 좀 작작하세요,3
2021년 04월 10일,"오후배송이 왠말이지 ㅋㅋㅋㅋ새벽배송 떡하니 써놓고
안와서 전화 해보니까 지역별로 되는데가 있고 안되는데가 있던데 ㅋㅋㅋ 미리 고지라도 해놔야 살까말까 고민이라도 해놓을텐데 아 어제부로 쿠팡 10년만에 앱 삭제함",1
2021년 04월 10일,에휴,1
2021년 04월 09일,"아이폰x사용하는데.. 자꾸 리뷰보면 상품페이지 제일위로 다시돌아가요ㅡㅡ
다시 내려서 또리뷰봐야되고ㅡㅡ 업데이트도 하고 삭제하고 재설치해도 똑같아요",5
2021년 04월 09일,"몇주전부터 검색을하면 일부가 삭제되고 다른게 검색됨
예를들어
대천김 403호 검색하면 대천김은 싹 사라지고 403만 검색됨 이거 버그아닌가요? 빠른 수정 부탁 ㅡㅡ",3
2021년 04월 09일,ㅇ,1
2021년 04월 09일,쓰지마라~,1
2021년 04월 09일,"아마 몇일 전부터이겠죠... 상단에 배송비가 사라진다 끌어내리듯 생긴 후 같아보이눈데여. 사람마다 느끼는데 다르겠지만 저는 이게 상단히 불편하네요.
근데 이것보다 심하게 정말 많이 불편한거? 버그??",1
2021년 04월 08일,"왜냐하면요.. 쿠팡 플레이를 무료로 볼수있거든요
그것도 다른 어떤 콘텐츠에도 뒤지지 않는 다양한 분야에서 올라와있어요 ㅎㅎㅎㅎ
몇년동안 와우 회원한 보람이 있네요 ㅎㅎㄹ",5
2021년 04월 08일,"후기보고 나오면 자꾸 위로올라가고
상품보는 방식도 가로로 설정해두는데
자꾸 세로로 바뀌네요 지맘대로ㅡㅡ",3
2021년 04월 08일,"하루종일 데이터 연결 실패.... 으아 진짜 짜증난다.
관리 똑바로 해주세요.",1
2021년 04월 08일,여태 한번도 그런적 없었는데 오늘 아침부터 계속 먹통이네요. 버그 수정이 제대로 안된거 같아요.,1
2021년 04월 08일,"업데이트 하고 난 뒤에 앱 사용시
랜딩 보구 하단에 리뷰 들어가서 보구 나서 다시 앞 페이지로 가면
보던 리뷰 목록에 머물러야 되는데",5
2021년 04월 08일,"잘 쳐줘야 럭키티몬이 한국의 아마존???
어플의 완성도 ㅆㅎㅌㅊ
재고관리 ㅆㅎㅌㅊ
배송,cs ㅆㅎㅌㅊ",1
2021년 04월 07일,"핸드폰보다 아이패드 사용시간이 긴데, 갑자기 살게 생각나서 앱을 실행하면 항상 불편해요ㅠㅠ 꼭 아이패드용 부탁드려요!",5
2021년 04월 07일,"십중팔구는 먹통되네요 짜증나서 지웁니다.
이렇게 만들거면 그냥 웹브라우저로 보게 놔두지 머 잘났다고 앱으로 보기를 강요합니까",1
2021년 04월 07일,Can you please add the English language?,3
2021년 04월 06일,"아빠가 로켓와우 회원인데, 전 원래 제 계정이 있고 와우 쓸 일 있을까봐 아빠계정도 제 폰에 로그인 해놨었어요 오늘 와우로 결제할 일이 있었는데 내 계정으로도 되나 했는데 되더라구요? 아빠가 무료체험 잘못 눌러놔서 그런거 아니냐 했는데 무료체험 신청하기 버튼이 존재하길래 그럼 이미 눌렀었던게 아니지 않나? 하다가 안 된게 맞나? 눌러보고 절차 보면 내가 눌러놨었는지 알겠지 하고 눌렀는데 그냥 바로 신청이 돼서 지금 난데없이 무료체험 중인데 원래 계정 말고 다른 계정에 와우가 있어도 원래 계정에서 와우를 사용할 수 있나요?",4
2021년 04월 06일,쿠팡인데.. 무려 쿠팡정도되는데 핸드폰 해상도로 확대해서 패드에서 쇼핑을 해야한다뇨.. 일부러 그러는건가.. 앱개발에 돈좀 쓰지.. 진짜 구시대적임,1
2021년 04월 06일,다 좋은데 아이패드 앱좀 내주세요 풀스크린으로 보고 싶네요,5
2021년 04월 06일,계속 렉걸리고 리스트다운이 안되네요,1
2021년 04월 06일,굳이 쓸 필요가 없는 쿠팡,1
2021년 04월 06일,좋아요,5
2021년 04월 06일,"아이템위너 규정은 소비자를 기만하는 규정입니다
업체마다 고객응대서비스 포장상태 거래하는 택배사 배송품질 등이 다 다른데 기존 판매자 정보를 신생 최저가 판매자에게 덮어쓰기 하는 건 말이 안되는 거죠",1
2021년 04월 05일,넓은아이패드에서 쾌적하게 쇼핑하고싶어요 제발 좀 만들어주세요,1
2021년 04월 05일,완료 바이바이,1
2021년 04월 04일,"들어갈때마다 업데이트 하라고 떠서 했더니
후기 보고 뒤로가기 누를때마다 상품 상세 페이지 제일 위로 올라갑니다 ㅠ,,,
후기를 하나하나 천천히 읽는 편인데 자꾸 이러니까 올라가면 내리고 올라가면 내리고... UI가 갑자기 왜 이러는건가요 ㅠ ㅠ 너무 불편합니다",2
2021년 04월 04일,배송잘해주시고 그냥 쿠팡덕분에 일상생활이 너무 편해요 감사합니다~0~ 배달해주시는분들도 항상 감사해요 모두 복받으세요,5
2021년 04월 04일,"소상공인 대상으로 갑질하고 직원들을 개돼지처럼 쓰는 쿠팡은 사회악입니다
대금을 가지고 이자놀이하는 정말 최악",1
2021년 04월 04일,시대를 역행하는 짓거리 쿠팡 어디서 많이 봤던 행태 뒷통수 치는게 일본놈들 방식하고 똑같네요,1
2021년 04월 04일,"한국인 뽑아먹는 최고의 악질기업
미국인 뽑아먹는 아마존같이 되고싶어하지만 한국엔 대체재가 많아요",1
2021년 04월 04일,탈퇴 회원탈퇴,1
