date,review,rating
2021년 05월 19일,최고,5
2021년 05월 19일,쿠팡 왭을 알고부턴 행복해요,5
2021년 05월 19일,왜 URL따라 들어갈 때는 웹으로 볼 수 없고 무조건 앱으로 봐야하는지... 거기에 난 킨 적도 없는데 앱 서랍 가보면 켜져있어서 소름이 돋는다. 이게 쇼핑물 어플인지 중국산 해킹어플인지 모르겠다.,1
2021년 05월 19일,전혀도움안된다,1
2021년 05월 19일,좋아요,1
2021년 05월 19일,굿 ㅜㅅ굿굿,1
2021년 05월 19일,다 좋은데 비닐에 송장출력한거 잘떨어지게좀 해줘요,5
2021년 05월 19일,하다하다 오천원이나 반품비가져감,1
2021년 05월 19일,깔아서 유용하게 쓰고있었는데 어느순간부터 핸드폰 킬 때마다 계속 상품구매화면으로 들어가짐 빡쳐서 지웠는데 지워도 계속 리뷰쓰는 화면 나와서 몇번 무시하다가 리뷰쓰는중~,1
2021년 05월 19일,쿠팡 라이브 짜증난다. 다른것하다거 뒤로가기해서 끄면 홈화면으로 가버림.,1
2021년 05월 19일,쿠팡 애용합니다. 다만 폰 켤때마다 쿠팡이 뜨게해서 UV올리는건 좀 화가나네요. 그것도 마케팅이라 생각하는 정신머리는 좀 고쳤으면 좋겠습니다.,1
2021년 05월 19일,이거차단하는법없냐?,1
2021년 05월 19일,쿠팡광고가 얼마나 많은지 인터넷 서핑하고 있으면 자꾸 쿠방홈으로 넘어가네요 정말 짜증나네요,2
2021년 05월 19일,홍보 안받는다고 알림설정을 했는데도 계속 알림이 떠서 설정이 무용지물인데 이건 쿠팡측의 장난인 것같다 요즘 세상에 설정 하나 바꿀 수 없겠나?,1
2021년 05월 19일,쿠팡이 자꾸 켜져있네요..,1
2021년 05월 19일,1번 밖에 안시키긴했는데 도착예정일보다 3일이나 일직왔다 ㅋㅋㅋ 다음날 휴일인데 개꿀,5
2021년 05월 18일,제품이 정품으로 배송되어서 마음에 듦,5
2021년 05월 18일,쿠팡은 제 최애 쇼핑앱,5
2021년 05월 18일,업데이트 했는데 켤때마다 자꾸 업데이트하라고 뜹니다 짜증나요 업데이트도 에러가 걸리는지 안되구,2
2021년 05월 18일,좋아요,5
2021년 05월 18일,짝퉁은 팔지 않게 해야죠,1
2021년 05월 18일,이미테이션..좀그만팔아요,5
2021년 05월 18일,쿠팡이 너무 좋아요 ㅎㅎㅋㅋ 빨리 오는것도 있도 내일이가 아남 내일모래 오는것고 너무 좋아요 ㅠㅠ,5
2021년 05월 18일,도착 보장이라고 하고 물건도 안오고 고객센터는 연락3통을해도 다시 연락이 안옴 5시간동안 뭐하는건지 모르겠음 전날와야할게 지연연락한통 없이 다음날 오후3시에서 8시사이에 온다는 알람만 날라옴 관리자통화원한다고 해도 깜깜 무소식이네...,1
2021년 05월 18일,"한겨레 기사 보다가 한 두 번 갑자기 쿠팡앱이 뜨길래 잘못 눌렀나 생각했는데, 한겨레 들어갈 때마다 매번 뜨니 앱이 무슨 수작을 부린게 확실해 보이네요. 이건 무슨 해킹 같은 짓거린가요? 저렴하게 물건 판다고 장사도 저렴하게 하네요. 점수도 저렴하게 드립니다.",1
2021년 05월 18일,나의 작은 쿠팡 주식,5
2021년 05월 18일,편의점결제 만들어주시면 사용자가더 많아질듯 편의점결제 만들어주세요,4
2021년 05월 18일,지겨운광고,1
2021년 05월 18일,좋음 ㅇㅏ주많이,4
2021년 05월 18일,빠른배송 👍,5
2021년 05월 18일,고객우롱하는 양아치회사 고객센터 상담 지맘대로 끊음 ㅋ,1
2021년 05월 18일,왜 폰을 키면 실행되어 있음?? 그래어 지웟다.. 오랜만에 다시설치하니...또 그럼..,1
2021년 05월 17일,다 좋은데요 제발 최근검색어 전체삭제 기능좀 없애주거나 위치를 바꿔주세요 ㅠㅠ 선택삭제하려다가 전체삭제 눌러져서 전체삭제된게 한두번이 아니네요 제발 쫌 없애주거나 위치를 바꿔주세요!!ㅠㅠ,1
2021년 05월 17일,검색 기능 좀 제대로 만듭시다. 정렬만 하면 보이던 것이 사라지는 검색을 뭘 믿고 사. 인터넷초창기도 아니고 검색하고나서 보면 보이던것이 정렬만하면 어디로 사라져.이것 정렬기능이야? 은폐기능이야? 쓸모없는 무슨 일시품절인지 영구품절인지만 가득하거나 해외직구만 가득... 검색하다보면 다른 쇼핑앱에서 구매하게 만드는 놀라움. 쿠팡이 추천하는것만 사라고 만들어놓은 검색기능인지.,2
2021년 05월 17일,tt I,5
2021년 05월 17일,신속정확,5
2021년 05월 17일,좋음,1
2021년 05월 17일,쿠팡도 11번가처럼 동영상 리뷰 쉽게 올리게 해주면 안되나요? 쿠팡은 동영상 리뷰를 아무나 올릴 수도 없고 올린다해도 다른 회원이 볼 수 있도록 승인이 나는 데도 일주일 넘게 걸리고 진짜 너무 불편해요!,3
2021년 05월 17일,쿠팡 라이브 극혐! 인스타 광고쟁이들을 여기서까지 보게 될줄 몰랐음. 정신산만하고 눈이 피로해짐.,2
2021년 05월 17일,버즈프로는 절대 사지마세요 기스난거 재포장해서 팝니다,1
2021년 05월 17일,5ㅔㅜㅅ5세 555이 우파ㅣ.기6ㅓㅐ8 료ㅣ,3
