date,review,rating
2021년 05월 17일,"마트, 백화점, 아울렛까지 모든 상품의 온라인 구매가 편리해요.",2
2021년 05월 17일,원활하게 잘됨,4
2021년 05월 16일,"마트가서 이것저것 만져보고 구매하는 습관을 온라인으로 바꾸게 된 큰 원인이 코로나 때문이라면 (마트에서 직접 물건을 만지지 않게 됨), 저에게 온라인 쇼핑의 재미를 알게 해 준 것은 SSG닷컴 이예요. 매일 마감세일이나 할인하는거 챙겨보는 습관이 생겼거든요. 돈과 물건의 교환으로 생활이 아주 풍족하고 넉넉해졌다고나 할까.. (솔직히 이걸 고맙다고 해야할지 ㅠㅠ) 무엇보다도 편하게 배송 받을 수 있어서 기사님께는 더 없이 많이 감사합니다.",4
2021년 05월 14일,간편하게 결제하고 벤티로 업그레이드 완전 좋아요,5
2021년 05월 14일,배송 빠릅니다. 서비스도 있고요. 감사합니다,1
2021년 05월 14일,편리합니다!,5
2021년 05월 13일,"원하던 제품 싸게 구매했네요.
홍이장군 2단계",1
2021년 05월 13일,"반팔티 망설이다가 후기보고 구매합니다.
가격도 착하구 후기도 좋네요~
잘 입을께요~~^*",1
2021년 05월 12일,"매번 경쟁률 치열할거 뻔히 예상되면서
서버증설을 안하는건지 구조가 구린건지
남의 시간 낭비하게 만들지맙시다.
쿠팡 만세",1
2021년 05월 11일,일반카드결제를 눌렀는데 자꾸 페이백? 인증창이 뜨고..몇번 시도하다 결국 카드 바꾸고 나서야 isp결제창으로 넘어가네요... (bc카드 선택시 그랬음),5
2021년 05월 09일,결제하는데 한시간이 넘게 걸렸습니다 뭐가 그리복잡한지 ㅡㅜ,5
2021년 05월 07일,"시간을 줄여주셔서 감사합니다
부디 좋은 물건으로 실망되지 않았으면 좋겠습니디
그럼 부탁드립니다",5
2021년 05월 05일,"(국민카드 7% 청구 할인)이용해 장을 봤어요.
신선식품 중 내일모레 배송 가능 이란 문구 뜨는게 두개의 품목이 있었는데..
여기서 궁금증이 생겼습니다.",5
2021년 05월 05일,SSG. 빨라요.,5
2021년 05월 04일,"이번 건 결제하는데 10번 시도에 30분 소요.
다시는 이용 하고 싶지 않다.",5
2021년 05월 03일,"결제하려다 쓰러질듯
내돈 내가 쓰는데 짜증지데루이네요~~~~",5
2021년 05월 03일,튕김현상 해결 부탁드려요,5
2021년 05월 02일,예구를 하려고 샀다가 알게 되었는데 앱이 편하게 좋네요 자주 이용할 거 같아요,5
2021년 05월 01일,아주 저렴하고 편리하고 빨라서 좋은거 같습니다,5
2021년 04월 30일,세상을 꺼꾸로 가네요 쿠팡서 물건 함 사보세요 쓱. 시스템 기가막힙니다 돈 결재가 이리 힘들어서 ... 할많하않!,5
2021년 04월 29일,"이마트부터 ssg몰까지 믿고 애용하고있어요
앞으로도 좋은물건.가격프로모션 기다할게요",5
2021년 04월 28일,SSG닷컴을 이용하고는 싶지만 제가 있는 지역의 경우 새벽배송이 안되어서 쿠팡을 이용하는 경우가 많습니다. 참 안타깝네요,5
2021년 04월 28일,싸고좋아요~,5
2021년 04월 25일,"항상 사용중입니다.
직장맘으로 쇼핑이면 쇼핑 장이면 장 시간아껴주고 편하게
해주는 친구같은 SSG...!!
감사합니다^^",5
2021년 04월 24일,원하는,5
2021년 04월 21일,필요한상품 쓱배송으로 안전하게 받고 좋아용,4
2021년 04월 21일,노재팬하느라 쿠펑끊고 이겄는데 다른건 다좋은데 제품이 깨져서 배달오지않으면 사진이 무선이라 제품을시키면 사진하고 제품이 맞지않고 글로써져있어서 무료 반품안덴다하고 요즘 사진보지 누가 일일히 작게써진 제품 유무선 정보 확인하고 물건사나,5
2021년 04월 18일,"실버까지 올랐따가.., 패밀리가 돼어 돌아왔어요=^^=
어플은 언제나 사용자입장여서 불만없어요.
결제과정에서 과거 버벅거리기가 일수였는데.., 말끔한 기분으로 완료 할 수 있어요!!
SSG렌더스도 항상 응원합니다!!",5
2021년 04월 18일,좋은데 장바구니에 들어갈때마다 기다리고 그 다음에 상품 지우거나 주문하는거 너무 오래걸려요 그리고 컴퓨터도 로그인할때 매일매일 로그인 하는거 너무 귀찮은데 그냥 고정으로 해주시면 좋겠습니다 이거 외에는 다 좋아요,3
2021년 04월 18일,젲,5
2021년 04월 17일,"간편하고
만족",4
2021년 04월 15일,쿠팡보다 결제가 어려워요 카드등록도 힘들게 여러번해서 겨우 가능했어요 결제가 쉬워야 하루에 몇번씩 주문하겠죠?,5
2021년 04월 14일,"시간을 줄여주셔서 감사합니다
부디 좋은 물건으로 실망되지 않았으면 좋겠습니디
그럼 부탁드립니다",5
2021년 04월 14일,"판매수수료나 챙기려고 사이트 만들어놓고, 배송에 문제 생기니, 택배업체 문제지 모르겠다니? 정말 그냥 일반 통신판매자들보다도 못하네요",5
2021년 04월 13일,"다른 앱도 아니고 쇼핑 앱이 어떻게 결제하려고만 하면 에러가 납니까?
기종은 Xs이고 OS는 금일자로 최신입니다.
한번에 순조롭게 결제된적이 없네요.",5
2021년 04월 10일,간편하고 좋네요~~,5
2021년 04월 10일,좋아요,4
2021년 04월 09일,다양한 물건을 주문과 빠른 배송 가능해서 좋네요.,5
2021년 04월 09일,편하고좋아요,5
2021년 04월 08일,앱 실행이 자동으로 실행되질 않아요,5
2021년 04월 06일,신세계백화점 신세계몰 이마트까지 모든것을 한번에 구매할수있어서 너무 편하고 좋아요,5
2021년 04월 06일,다른 몰보다 디자인&전시면에서 효율적이고 사용하기 편리한 쇼핑어플이다,5
2021년 04월 06일,아이가 잘 노네요,1
2021년 04월 06일,빠름배송 저렴하고 좋아요,5
