date,review,rating
2021년 05월 19일,이걸 이제 알아서 쓰다니… ㅠㅠ 지난날의 쇼핑이 생각나네요,3
2021년 05월 19일,쿠폰을 자주 줘서 자주 구매 합니다,5
2021년 05월 19일,앞으로 더 신경써서 관리 해주세요 고맙습니다~,5
2021년 05월 19일,항상 좋게 사용 하고 있습니다~,3
2021년 05월 19일,지름신 접선!!!,4
2021년 05월 19일,좋은 상품을 믿고 구매 할 수 있는듯 합니다! 항상 고맙습니다,5
2021년 05월 19일,편리하고 너무 좋아요 최곱니다,5
2021년 05월 19일,너무 좋아요!!!!,5
2021년 05월 19일,사용하기 편하게 잘 만들엇어요,5
2021년 05월 19일,오늘도 구매 했습니다..하하,4
2021년 05월 19일,이번에 구매 하려고 어플 설치 하고 리뷰도 남겨 봅니다~,3
2021년 05월 19일,유용합니다,5
2021년 05월 19일,이번에 친구선물을 롯데온에서 싸게 샀어요!! 완전 강추강추 합니다~,5
2021년 05월 19일,다양해서 좋습니다,5
2021년 05월 19일,연결하기 어려움 이따위로하려면 광고하지 마삼,1
2021년 05월 19일,다양한 상품이 존재 하는 어플!,5
2021년 05월 19일,괜찮은 거 같아요,3
2021년 05월 19일,쓰기가 편리합니다,3
2021년 05월 19일,편함 빠르고 좋고,4
2021년 05월 19일,할인 많이되서 좋아용,5
2021년 05월 19일,빠른 배송과 함께 제품상태도 좋습니다,5
2021년 05월 19일,저는 어플에 만족합니다~,5
2021년 05월 19일,물건이 필요 할때는 롯데온을 킵니다,5
2021년 05월 19일,너무 너무 좋음ㅠㅠ,4
2021년 05월 19일,이쁜 옷이 너무 많아요,5
2021년 05월 19일,쇼핑 어플중에서 가장 많이 이용하고 애정 있는 녀석 입니다 핫,3
2021년 05월 19일,반품이랑 교환도 빠르고 일처리가 매끄럽고 깔끔 하네요,3
2021년 05월 19일,필요한 걸 싸고 빠르게 구입 가능 하니까 너무 좋아요^^,5
2021년 05월 19일,잘 사용하고 있으요~~,5
2021년 05월 19일,제 취향의 상품이 많아서 만족합니다,5
2021년 05월 19일,쿠폰과 여러가지 혜택 때문에 저렴한 가격으로 이것저것 득템ㅎㅎㅎ,4
2021년 05월 19일,괜찮은듯요,3
2021년 05월 19일,배송짱!,5
2021년 05월 19일,득템 무야호!,3
2021년 05월 19일,잘 애용하고 있습니다,4
2021년 05월 18일,"상품 선택의 폭이넓고, 저렴해서 잘 사용하고 있네여~~",5
2021년 05월 18일,아직까지 불편함은 못 찾았어요~,5
2021년 05월 18일,몇달째 여기에서만 사고 있는중인데 다른데 갈아 탈 생각이 없어요 ㅋ,3
2021년 05월 18일,내가 원하는 물건 검색하면 다 있어!! 없는게 없습니다,4
