date,review,rating
2021년 05월 18일,봤어 223322,1
2021년 05월 17일,"이마트 양재 오픈 이래 온오프라인 꾸준 고객인데, 과일 부분에서 경쟁력 있고 쓱배송 편해서 불편없이 쓰다가 최근 쿠팡이랑 경쟁 붙으면서 서비스 품질 떨어진 게 너무 체감됨. 경쟁도 좋지만 당신들의 피로를 소비자가 감당하면 안 되는 거 아닌가?",1
2021년 05월 17일,"마트, 백화점, 아울렛까지 모든 상품의 온라인 구매가 편리해요.",2
2021년 05월 17일,원활하게 잘됨,4
2021년 05월 16일,한예슬씨 광고보다가 내가 당첨?ㅠㅠ,1
2021년 05월 16일,서버도 구려~ 배송도 느려~ 고객센터 답변 한줄 받는데는 몇일이 걸려~~ 뭐하나 제대로 된게 없는 앱. 이정도면 그냥 쓱 자체 문제인듯함. 계속 서울경기만 열심히 당일배송 시켜주세요~~ 지방은 뭐 주문하고 3일이 지나서 배송도 시작안해도 되죠 지방 촌놈들인데요,1
2021년 05월 16일,"마트가서 이것저것 만져보고 구매하는 습관을 온라인으로 바꾸게 된 큰 원인이 코로나 때문이라면 (마트에서 직접 물건을 만지지 않게 됨), 저에게 온라인 쇼핑의 재미를 알게 해 준 것은 SSG닷컴 이예요. 매일 마감세일이나 할인하는거 챙겨보는 습관이 생겼거든요. 돈과 물건의 교환으로 생활이 아주 풍족하고 넉넉해졌다고나 할까.. (솔직히 이걸 고맙다고 해야할지 ㅠㅠ) 무엇보다도 편하게 배송 받을 수 있어서 기사님께는 더 없이 많이 감사합니다.",4
2021년 05월 15일,"이미 버려진 어플입니다. 돌아가주세요, 삐빅",1
2021년 05월 15일,쇼핑품목이 다양하네요!,5
2021년 05월 14일,간편하게 결제하고 벤티로 업그레이드 완전 좋아요,5
2021년 05월 14일,배송 빠릅니다. 서비스도 있고요. 감사합니다,1
2021년 05월 14일,편리합니다!,5
2021년 05월 13일,요즘 왜 자꾸 튕기나요 이번달에 몇번을 다시 지웠다 깔았다 하는지 정말 짜증나네요 배송완료후 리뷰 적을려고 하면 튕겨서 나가고 어제부터 오늘까지 계속 그러네요 다른 쇼핑몰은 이런적이 없는데 지우고 싶은 어플이네요 최악,1
2021년 05월 13일,5g 비싼돈주고 쓰는데 이어플혼자 연결안된다함 서버관리 발로하는듯,1
2021년 05월 13일,오늘 쓰고있는데 갑자기 4/22 오전 9시~10시 점검창이 뜸 5월인디,1
2021년 05월 13일,시스템 개선 좀....;; 아니 무슨 화면 하나 넘기기가 몇분이 걸리고 네트워크 오류 안내 왜 자꾸 뜹니까?? 개선 좀 해주세요 불편해서 사용을 못하겠네요 ㅡㅡ..,1
2021년 05월 13일,스벅 이벤트만하면 리셀충들 때문에 접속을 못함...세상 모든 리셀충들 망하길 간절히 바라고 서버좀..,5
2021년 05월 13일,휴.. 말해봤자 타격안가는 당신들에게 뭘 말해,1
2021년 05월 13일,스타벅스 쿨러 사려고 설치합니다!! ㅋ 오늘 생일인데 꼭 받을수 있길..,5
2021년 05월 13일,원하던 제품 싸게 구매했네요. 홍이장군 2단계,1
2021년 05월 13일,반팔티 망설이다가 후기보고 구매합니다. 가격도 착하구 후기도 좋네요~ 잘 입을께요~~^*,1
2021년 05월 12일,새벽배송 알비백 너무 불편해요 장을 자주 보는 편이 아닌데 한번 깜빡해서 백을 문앞에 두지 않고 자면 그 크고 불편한게 하나가 더생겨요; 심지어 회수용알비백은 보증금이 있고 어디선가 차감되었다가 다시 환불해준다는데 뭔가 확인하기 편하게 되어있지 않아 환불처리가 안돼도 모르고 지나가겠어요. 좀 뭔가 재고관리실수도 자주 있는것 같고.. 아예 알비백 반납하고 쓱배송 이용하지 않는 것도 불가능한듯해요 평생계약인가요...,1
2021년 05월 12일,매번 경쟁률 치열할거 뻔히 예상되면서 서버증설을 안하는건지 구조가 구린건지 남의 시간 낭비하게 만들지맙시다. 쿠팡 만세,1
2021년 05월 11일,일반카드결제를 눌렀는데 자꾸 페이백? 인증창이 뜨고..몇번 시도하다 결국 카드 바꾸고 나서야 isp결제창으로 넘어가네요... (bc카드 선택시 그랬음),5
2021년 05월 09일,일반상품권을 선물받았는데 년식이 오래된 사람이고 이마트가 없는지방이라사용방법을몰라서헤매다가 이마트고객센터에 문의했더니 아주 만족한 답변을 해주셨네요. 고맙습니다.,5
2021년 05월 09일,결제하는데 한시간이 넘게 걸렸습니다 뭐가 그리복잡한지 ㅡㅜ,5
2021년 05월 08일,굳,5
2021년 05월 07일,반품하고 환불받는게 정말 최악이다...반품신청하고서도 물건 가지러 오는게 한달이 넘게 걸리더니 거기서도 송장이 꼬여서 택배사랑 직접 통화해서 해결봤더니 왜 고객센터로 연락안줬는지 오히려 따지더니 반품 완료되고서 한달이 넘었는데도 아직도 환불이 안되는...,1
2021년 05월 07일,너무 좋아요^^,5
2021년 05월 07일,시간을 줄여주셔서 감사합니다 부디 좋은 물건으로 실망되지 않았으면 좋겠습니디 그럼 부탁드립니다,5
2021년 05월 06일,"ssg루트 1.주문완료!! 2.몇일 지남..재고확보를 위해 노력한다고함 3.또 몇일 지남..품절이라고 환불해줌 -품절상품이 재고 떠있는경우 허다함 -2,3번 경우 심하면 거의 일주일동안 스트레스만 받음 -이런경우가 가끔생기는게 아니라 3번 이용하면 1번은 이럼",1
2021년 05월 06일,오늘 자꾸 멈춰요 지웠다가 다시 깔았는데도 그러네요 ㅠ ㅠ,2
2021년 05월 05일,그동안 정말 잘사용했는데 갑자기 3일전부터 쿠폰 선택 항목이 없어졌어요 쿠폰이 16개가 있다는데 선택을 할 수 없으니 다시 설치해보려구요. 저만의 문제인가요?,3
2021년 05월 05일,1점도 아까움. 상담사가 고객상대로 거짓말을 하네요. 4/29에 주문했는데 계속 상품준비중이라 혹시 재고없나 문의했더니 재고는 있으나 배송지연으로 5/6일 발송예정 이라고 했습니다. 그런데 갑자기 5/4 전화와서 재고가 없다고 하더군요. 장난하는것도 아니고 첨부터 재고확인이 어렵다 하던지 재고확인도 제대로 안하고 이런식으로 거짓말해도 되는건가요. 이때까지 많은 쇼핑몰 이용했지만 이런 곳은 첨입니다. 다신 여기서 주문안해요.,1
2021년 05월 05일,(국민카드 7% 청구 할인)이용해 장을 봤어요. 신선식품 중 내일모레 배송 가능 이란 문구 뜨는게 두개의 품목이 있었는데.. 여기서 궁금증이 생겼습니다.,5
2021년 05월 05일,SSG. 빨라요.,5
2021년 05월 04일,업데이트와 설치가안됩니다,2
2021년 05월 04일,만족하고 사용하고 있습니다,5
2021년 05월 04일,이번 건 결제하는데 10번 시도에 30분 소요. 다시는 이용 하고 싶지 않다.,5
2021년 05월 03일,보통입니다,3
2021년 05월 03일,결제하려다 쓰러질듯 내돈 내가 쓰는데 짜증지데루이네요~~~~,5
2021년 05월 03일,튕김현상 해결 부탁드려요,5
2021년 05월 02일,좋은 물건들이 착한 가격에 나와요 함 살펴 보고 구매하면 도움이 될거에요,5
2021년 05월 02일,예구를 하려고 샀다가 알게 되었는데 앱이 편하게 좋네요 자주 이용할 거 같아요,5
