date,review,rating
2019년 03월 29일,좋아용 굿굿,5
2019년 03월 29일,굳,5
2019년 03월 28일,굿,5
2019년 03월 28일,악성광고 지긋지긋하다 스팸메일이랑 다를게뭐야? 국가손해배상 뜨면 니들이 진다. 광고좀 그만해라,1
2019년 03월 28일,팝업그만띄워라,1
2019년 03월 28일,빠르고 안전한 배송 감사합니다,3
2019년 03월 27일,진짜 제발 그만떠라..,1
2019년 03월 27일,광고 개빡치네,1
2019년 03월 27일,"광고성수신하면 10프로 쿠폰 주는데 (최대1만원할인)100만원 물건사도 10만원할인이 아닌 1만원.장난치나? 온라인 물건주문시 3일지나 품절이라고 문자오는데, 그물건 파는 오프라인매장 전화하면 재고 있단다 어이없네. 특히 고객센터 남자직원은 일처리 너무 느림. 이렇게 상술이 더러운 온라인 쇼핑몰. 쓱~~",1
2019년 03월 27일,모아노아 좋은 점과 혼동되는 점이 상충되는것이 해결하기 어려운 점이지만 해결 하실 수 있으리라 봅니다,2
2019년 03월 26일,내가 이앱설치할거같냐 공초를하고말지 악성광고 ㅃㅃㅉ~~,1
2019년 03월 26일,광고가 자꾸 떠서 더 싫어집니다 제발 그만ㅠ 구글앱을 아에 삭제했는데 유투브도 삭제할까 고민 중,1
2019년 03월 26일,하....앱 깔으라 광고좀 그만해요 제발... 폰을 쓸수가 없어요...이런 앱 리뷰에 존댓말쓰는 제가 한심하네요...,1
2019년 03월 26일,"대체 몇번째인지.. 언제부턴가 할때마다 로그인하라더니 이젠 비번도 방금 찾기해도 안되고, 핸폰로그인했는데도 이멜인되서 안된다는둥. 그러면 연동은 뭐하러해놓았는지.. 개인정보만 빼갔는가...",5
2019년 03월 26일,실내 와이파이 강력한 곳 외에는 LTE신호로는 재시도 메세지만 자꾸 뜨고. 일년 넘게 이 어플만 그러네요. 개선해주세요.,1
2019년 03월 25일,빠른배송 신선한 상품 감사합니다 ^^,5
2019년 03월 24일,무한광고앱 리뷰땜에깐다,1
2019년 03월 24일,아직 미사용으로 정확한 평가를 하기가 힘드네요.,3
2019년 03월 24일,맨날 폰에 광고뜨는 범인,1
2019년 03월 24일,결제하기 왜이렇게 어려운가요 어플깔아도 안되고 까다로운거같아요,5
2019년 03월 24일,자주 이용하게되는게 편리하고 빠르고 좋아서~,5
2019년 03월 24일,쓸만한 앱이네요ㅎㅎ,1
2019년 03월 23일,광고 제발요.... 이건 아니잖아요..,1
2019년 03월 23일,어플광고 오지게 띄우네 ㅋㅋㅋ 이딴어플 받는 흑우 없을거라 생각한다,1
2019년 03월 23일,광고 ㅎ.,1
2019년 03월 23일,야. 니가 어떻게 하는지 알고 있니? 광고 실화? 강제 사이트? 밑에 뜨는 광고도 실화?! 니때문세 어떤앱 때문인줄 알고 그앱 지웠는데 그앱 때문이 아니라서 다시 깔았는데 코인 50000개 넘게 있었는데 20000개 됬잖아!! 한번만 광고 더 뜨면 이앱 신고ㅅㄱ. ㅎㅎㅎ. 리뷰수정중. 광고 뜸 신고함,1
2019년 03월 23일,직장생활에혼자살다보니마트가기가쉽지안은데 ㅎ 너무편해요,5
2019년 03월 23일,결제 진행 도중이나 앱실행중에 화면이 멈춤 좀더 원활하면 좋겠습니다,5
2019년 03월 23일,만족합니다,5
2019년 03월 23일,연구소.라는 명칭사용이 무색하지 않도록 끊임없이 노력하며 변화를 꾀하는 노력의 흔적이 보여 안심이 됨. 충성 고객으로서.,5
2019년 03월 22일,깔테니까 광고좀 그만띄워 미치겠네,1
2019년 03월 21일,싸게 잘 산거 같네요 배송이 빠를련지..,5
2019년 03월 20일,제발 무한광고좀 그만하세요 다른어플 하는 도중에도 어플깔으라고 바이러스로 깔으라하네요 최악.,1
2019년 03월 20일,오 900캐시를 줬어! 정직해!,5
2019년 03월 20일,좋아요 소 쿨.....,5
2019년 03월 20일,시@광고 개@♡야 그만좀 해..,1
2019년 03월 19일,카테고리 작업을 좀더 실속있게 해야 할 듯 식품을 보려면 쓸데없는 거 잔뜩보고 지나야하니 짜증나요 과천 이마트도 노선을 빙빙 돌게 만들어서 짜증이었는데 마치 그와같은 느낌이었습니다 쓱 굉장히 기대했었는데 ..,1
2019년 03월 19일,광고,1
2019년 03월 19일,조아용,4
2019년 03월 18일,쇼핑하기편리해요~,5
2019년 03월 18일,카카오페이 결제하면 카카오톡에 떠야되는데 최신버전임에도 불구하고 안됩니다. 어떻게하면 될까요?,5
2019년 03월 18일,신세계상품권 결재할려는데 엄청 튕기고 족같네진짜 ssg페이 어플 깔게 어플상에서는 상품권 아예 못쓰게 해놨네 짜증,5
2019년 03월 18일,가격도 좋고 제품도 믿을만하네요~~^^,5
2019년 03월 17일,좋아요,5
2019년 03월 17일,no dob,1
2019년 03월 17일,주문도중에 다른 제휴업체 어플(okcashbag 등)로 들어가는 경우가 있는데요 다녀올때마다 결제창이 모두 꺼지고 신세계어플이 새로 열러서,1
2019년 03월 17일,다양한 쿠폰적용으로 할인이되어 득템할 수 있음,4
2019년 03월 17일,할인도 많이 받고 앱이 이용하기 편리해용,5
2019년 03월 17일,상품도 다양하고 결제도 완전 편하네요! ㅎㅎ,5
2019년 03월 17일,배송지 주소변경이 주문창에서는 되지 않아 불편해요,5
2019년 03월 16일,아니 빡침,1
2019년 03월 16일,신세계 어플있는데 계속 다운받으라 하네..ㅡㅡ,1
2019년 03월 16일,좋음,5
2019년 03월 16일,초등학교 6학년 핸드폰입니다. 핸드폰 이용자의 나이를 고려하여 정보 전송해야 합니다,1
2019년 03월 16일,아 좀.....깔테니까 좀 광고좀그만해 핸드폰을 쓸수가없어....,1
2019년 03월 16일,주문도 편하고 쓱머니나 페이 결제도 편하니 사용하기 편하네요,2
2019년 03월 16일,혜택이 많을 줄이야.....ㅎㅎ,5
2019년 03월 14일,아니 갑자기 구글로 넘어가면서 가면서 광고하네? 강제서비스인가?? 평점-999999999,1
2019년 03월 14일,다양한 제품이 있어 쇼핑이 즐거웠습니다~~,2
2019년 03월 14일,너무 좋네요 편하고,1
2019년 03월 13일,다운로드 안되고 로딩도 안되네요,1
2019년 03월 13일,"휴대폰 번호로 로그인하고 face id로 로그인한다고 늘 체크하는데 계속 안되네요 번거롭게 인증번호 받고 그렇게 매일 로그인해요,,",5
2019년 03월 13일,좋네요,5
2019년 03월 12일,머하느라 설치했는데 하는도중리뷰가좀그렇길래 다시생각해보려구 봤더니 머니는안들어오구설치는돼있네여^^-,2
2019년 03월 12일,배그할려고 들어갔는데 안깔면 튕기고...이게뭐야,1
2019년 03월 12일,처음가입 다운받아 써보려는데 .. 열라짜증입니다. 쿠폰 26개 받아도 5개밖에 안뜨는 이유가 뭔지.. 뭘해도 안되네요. 시간 아깝네요. 탈퇴고민중,1
2019년 03월 12일,편리하고 좋네요. 자주 이용하겠습니다,2
2019년 03월 12일,장바구니도 오래 보관되어서 좋구요,5
2019년 03월 12일,검색이 쉽고 보기 편해요,2
2019년 03월 12일,신세계 상품권 사용이 너무 힘들다,1
2019년 03월 12일,좋아요 좋아요0,5
2019년 03월 11일,편하고 좋아요,5
2019년 03월 11일,8세대 I7 탑재 LG노트북을 꼭 구매하고자 했는데 이제야 구매를 합니다. 배송 받고 이후 후기 재 작성하도록 하겠습니다,5
2019년 03월 11일,좋아요,5
2019년 03월 10일,좋다.,5
2019년 03월 10일,타이어 교환시기에 따른 고민중에 SSG안에 모든게 다있고 이렇게 편하게 결제까지~^^,5
2019년 03월 10일,트레이더스주문도가능하구편하네요!,4
2019년 03월 09일,할인제품인데 유통ㅈ기한이 좀 남아있는거 보내주시고 배송시간이 뜨면 정확하게 맞춰주시고 좋아요,4
2019년 03월 09일,쌀떨어졌는데 쓱배송이 있어서 참 좋네요,5
2019년 03월 08일,자꾸 깔라고 넘어와지네요 홍보를 그따구로 하니 별점 1개주고 싶어지지,1
2019년 03월 08일,아니... 설치 안하겠다는데 왜 이거 계속 설치하라 그러죠?,1
2019년 03월 07일,광고 끄지라 제발,1
2019년 03월 07일,쓱배송 업뎃 됐다더니 4만원 이상 배송료 무료는 그대로. 쓱투마로우가 쿠팡 로켓프레시인 줄... 헷갈리지 마세요. 옛날이랑 똑같아요. 괜히 다운 받아서 주문하려고 봤더니 정말.. 안써본 댓글을 다 써보네,1
2019년 03월 07일,오오 여러분! 여기는 정직한 곳이었습니다! 200캐시가 들어왔어요!,5
2019년 03월 07일,좋아요,5
2019년 03월 07일,기본 구매 금액이 너무 높아 불필요한 소비를 하게 되네요 ㅠ,5
2019년 03월 06일,굿,5
2019년 03월 06일,제발 바이러스 걸리게하지마라 죽는다 별1개 주는것도 아까움,1
2019년 03월 06일,잼?,5
2019년 03월 06일,몇시에 도착한건지 7시에 문을열어보니 얼음 다 녹고 물이 질퍽하게 생겨있었습니다. 아이스팩이 다 녹았더군요 ㅜㅜ 신경 더 쓰셔서 배송해주세요.,1
2019년 03월 06일,만족해요,5
2019년 03월 05일,광고좀 작작 해라,1
2019년 03월 05일,절대하지마셈 쓰레기어플 별점1도아까움,1
2019년 03월 05일,깔테니까 광고좀 그만 떠 휴대폰을 못하겠네 정말 지긋지긋하다,1
2019년 03월 05일,인터넷 쇼핑을 자주 하지는 않은데 나름 물건도 많고 가격도 쿠폰 할인되는것들은 저렴하게 잘 사게되는 것 같아요. 직구 물품들이랑 가격만 조금 더 조정되면 더 자주 쓸 것 같아요.,5
2019년 03월 05일,분유 기저귀 마트 안가고도 착한가격에 맘편하게 쇼핑 가격비교하느라 시간낭비는 시로시로,5
2019년 03월 05일,괜찮은거 같아요,5
2019년 03월 05일,간편하고 저렴하고 신속하고 정확하게,5
2019년 03월 05일,하네요,1
2019년 03월 04일,앱 실행하면 포인트카드 바코드가 바로 뜨게 해주세요. 홈플러스 처럼.,3
2019년 03월 04일,요좀 목사님 들 이 난불명히요 이번엔로 또가 오 당첨 이도면은요 ㅇ긴ㅇ사해오모든 영광을 하나님께,5
2019년 03월 04일,광고 그만 쳐 뜨세요,1
2019년 03월 04일,배송도 느리고 안신선해요ㅠ,1
2019년 03월 04일,너무광고가 떠서 짜증,1
2019년 03월 04일,빨리배송된다는 점이 참 좋아요! 바쁘거나 급할때 자주 이용해요^^*,5
2019년 03월 04일,쓱페이로 할인도 받고 손쉽게 결제도 하고 너무 편해요~~,5
2019년 03월 04일,좋은상품 편하게 잘 이용하고 있습니다~^,5
2019년 03월 04일,한곳에서 다양하게 쇼핑할수있어 좋아요,3
2019년 03월 04일,빠른배송과 품질 굿!,5
2019년 03월 03일,좋아요,4
2019년 03월 03일,좋아요,5
2019년 03월 03일,어플 아이콘 눌러서 들어가면 왜 네이버브라우저 통해서 접속되나요?플레이스토어에서 검색해서 열면 제대로 어플로 열리던데..,1
2019년 03월 03일,처음 이용해봤는대 슥페이도 편하고 이마트 슥배송도 너무 편해요,2
2019년 03월 03일,좋은제품 한번에 찾아볼수있어서 애용하고있습니다,4
2019년 03월 03일,시스템이 사용하기 편해요,5
2019년 03월 03일,사용하기 편하네요~,5
2019년 03월 02일,상품가격들이 다른곳보다 조금씩 더 싸긴한데 계속 튕겨서 회원가입도 못하겠고 렉걸림 .,2
2019년 03월 02일,쿠폰때문에 깔았는데 안좋아요,1
