date,review,rating
2021년 05월 17일,"우선 온으로 바뀐후에 적응하기가 넘 어려웟으나 인간은 적응하게 되어있죠 그런데 이전에 닷컴컬러가 더 쇼핑하기에도 퀄리티에도 더 좋았던거 같아요!!
블루인가 퍼플인가 오너스도 퍼플이고 뭔가 연관되게 하면 이쁜앱이 될거같습니다",5
2021년 05월 17일,"원래 다른 쇼핑몰에서 많이 샀었는데, 가격도 좋고 앱이 편해서 그냥 여기로 정착했어요",5
2021년 05월 17일,"잘 사용은 하고 있지만, 개인적으로 불편한 부분이 있네요",5
2021년 05월 17일,"물건 구매 했는데 자동 취소는 기본!!!
혜택은 줄고!!! 몇일을 같은 오류로 열받게 하고
유료 회원을 결제 해서 쓰는 이유가 1도 없네요
돈벌어서 어플이랑 전산시스템에 투자 좀 하세요",5
2021년 05월 17일,"인터페이스에 개선할 부분이 있을 수 있겠지만, 현재 이용은 잘 하고 있습니다.",5
2021년 05월 17일,어느 거래소마다 불편한 점은 있지만 개선됐음 좋겠어요,5
2021년 05월 17일,엄마가 쓰기에 편하다고 말씀하시네용,5
2021년 05월 16일,"판매자와 트러블이 있을 때마다 고객 입장에서 응대해주고, 최대한 빠르게 처리해주셔서 감사합니다.",5
2021년 05월 16일,제가 받을 수 있는 최대 할인 혜택이 자동으로 적용 되네요! 편리합니다.,5
2021년 05월 16일,예전에 앱 오류 있었는데 지금은 많이 나아졌네요! 만족합니다,5
2021년 05월 16일,"매번 상품 누를 때 마다 품절이고, 1+1행사 상품도 재고 있는지 없는지 정확하게 기재가 안되어 있으니 소비자만 손해보내요. 도대체 이런걸로 몇번이나 손해봐야 하는지 모르겠네요. 개발자 께서는 다른 대형마트 또는 식품관련 어플좀 참고하시고 수정 하셨으면 좋겠어요. 너무 불편해서 못쓰겠어요.",5
2021년 05월 16일,"업데이트를 왜 했는지..
이용이 더 불편하고 늦고...
1:1문의 확인을 안하는지 며칠이 지나도 아예 답변없고,
상품 주문했는데 2주일 되도록 배송안되고 환불요청했는데.. 계속 접수중 상태이고...",5
2021년 05월 16일,엘포인트 적립률이 조금 더 높았음 하는 욕심이 있네요..잘 사용하고 있어요~,5
2021년 05월 16일,"안녕하세요 고객님. 롯데닷컴입니다. 먼저, 쇼핑에 불편을 드려 죄송합니다.",5
2021년 05월 16일,어플사용해서 쇼핑하니깐 확실히 편하고 좋네요~ 애용할께요,5
2021년 05월 16일,솔직히 100% 괜찮은 건 아니지만 잘 쓰고 있습니다.,5
2021년 05월 16일,어플에서 백화점이랑 마트랑 다 사용 가능하네요^^ 매우 편리합니다,5
2021년 05월 16일,"살짝 아쉬운 부분도 있긴 하지만, L포인트 적립 사용이 되는 점이 메리트가 엄청 커서 좋긴 하네요",5
2021년 05월 16일,지인한테 선물할일이 있었는데 롯데온에서 이번에 선물세트 득템했어요!!,5
2021년 05월 16일,여러 할인혜택에 엘포인트 야무져요~,5
2021년 05월 15일,여러가지 앱 다 사용해봤지만 불편한 점은 다 있기 때문에 그 점을 고려했을 때 이용할 만 합니다.,5
2021년 05월 15일,우리나라 메이저 거래소임은 분명한데 간혹 아쉬움은 있어요,5
2021년 05월 15일,"편의성에서 살짝 보완이 필요할 거 같지만, 제품 품질면에서는 만족스럽습니다.",5
2021년 05월 15일,롯데계열 상품들 한번에 볼 수 있어서 좋아요! 이게 가장 큰 장점,5
