	1	Goods	App	Delivery	Payment	CS	Price	Marketing	AD
0	업데이트도 되지않고 갑자기 앱실행도 안되네요 롯데닷컴 이용말라는건지 ㅠㅜ 예전앱도 실행되게해주고 업데이트는 선택으로해주세요 업데이트되지않는 기기도 고려해서요 오늘 앱으로 꼭 구입핦제품이 있는데 사지말라는건지	1	1	0	0	0	0	0	0
1	어플이 먹통이네요 업데이트하라해서 업뎃눌렸더니 더이상 실행되지않고 그대로입니다 배송이 잘못 와서 교환신청해야하는데 안되서 속상하네요 배송도 잘못보내주시고 고객센터는 연결안되고 어플은실행안되고 왜이럴까요?	1	1	1	1	1	0	0	0
2	빠른 신상품안내와 날마다 다른 할인특가로 잊어버린 쿠폰까지 챙겨주셔서 감사드려욥~	1	0	0	0	0	1	1	0
3	왜 갑자기 어플 실행이 안되나요. 오늘 주문해야하는 상품이 있는데 어플이 먹통. 지웠다 다시 깔아도 안됩니다. 답답해요	1	1	0	0	0	0	0	0
4	업뎃 이후면 다시 알람이 설정되는 쓰레기앱	0	1	0	0	0	0	0	0
5	쓰레기 같은 어플 모바일 인터넷에서 하는게 더 렉 안 걸림 어플 만들거면 좀 똑바로 만들던가 어이없네	0	1	0	0	0	0	0	0
6	쇼핑하기 좋아요	0	0	0	0	0	0	0	0
7	1개를 사도 무료배송이 되는데다가 할인까지 되니 1석2조네	0	0	1	0	0	1	1	0
8	품 적당하고 두께가 도톰하군요 요새 기온이 올라가는데 지금 입으면 딱 좋습니다	0	0	0	0	0	0	0	0
9	이용하다 화가 나서 처음으로 어플 후기 남깁니다. 이런 UI/UX로 오픈했다는 게 말이 안됩니다.. 오픈한지 한참됐는데도 아직도 혹평이 난무하는데 VOC 체킹 안하나요?	1	0	0	0	0	0	0	0
10	굿이요.^^	0	0	0	0	0	0	0	0
11	앱이 사용중 팅김. 누르지도 않았는데 자동으로 실행되기도함	1	1	0	0	0	0	0	0
12	반품접수 버튼만 누르면 앱 먹통 반품처리를 할수가없네요 다른건 다 되는데 반품접수만 안되는 이유는뭔데요ㅡㅡ3일내도록 안되네요	1	1	0	0	1	0	0	0
13	굿	0	0	0	0	0	0	0	0
14	아니 자기들이 품절로 상품취소요청했으면서 보내준링크 클릭해보니 앱설치하라네??	1	1	0	0	0	0	0	0
15	배송지 입력해도 안뜨고 로그인도 잘 안되네요	0	1	0	0	0	0	0	0
16	쇼핑어플이 이렇게 자주 먹통이 되서야 물건을 팔겠다는건지 말겠다는건지.. 돈좀 더써서 앱개발자좀 바꾸지...	1	1	0	0	0	0	0	0
17	사용하기 편리합니다.	1	0	0	0	0	0	0	0
18	다른데보다 저렴한건 거의 아예없는수준 그냥 매달 2900원씩 나가요. 여기선 거의 구매를 안하게됩니다.	1	0	0	0	0	0	0	0
19	검색 후 뒤로가면 이전조회화면이 아닌 다른화면나옴. 자동로그인안됨. 등등. 머 이런앱이있나싶음. 타사앱이랑너무비교됨. 한번쓰구불편해서 지울계획	1	1	0	0	0	0	0	0
